lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
268	1	2021.9506849315069	2021.9404967847004	nonENG	2021.9506849315069	2021.9506849315069
269	1	2022.0328767123287	2022.0034746969584	nonENG	2022.0328767123287	2022.0328767123287
270	1	2022.0465753424655	2021.9712205481983	nonENG	2022.0465753424655	2022.0465753424655
271	1	2022.0465753424655	2021.9951704890343	nonENG	2022.0465753424655	2022.0465753424655
272	1	2022.0794520547945	2022.0168353531496	nonENG	2022.0794520547945	2022.0794520547945
273	1	2022.0657534246573	2022.0428815056264	nonENG	2022.0657534246573	2022.0657534246573
274	2	2022.039698020881	2022.0082160597988	nonENG	2022.049315068493	2022.06301369863
275	1	2022.0794520547945	2021.9766296441903	nonENG	2022.0794520547945	2022.0794520547945
276	2	2022.042826627664	2021.965550490375	nonENG	2022.0438356164384	2022.0520547945205
277	1	2022.041095890411	2021.9668791548777	nonENG	2022.041095890411	2022.041095890411
278	1	2022.027397260274	2021.9927590875088	nonENG	2022.027397260274	2022.027397260274
279	1	2022.024657534247	2022.0233878329416	nonENG	2022.024657534247	2022.024657534247
280	1	2022.0520547945205	2022.0030120159383	nonENG	2022.0520547945205	2022.0520547945205
281	1	2021.92602739726	2021.9220880685864	nonENG	2021.92602739726	2021.92602739726
282	1	2022.0684931506848	2021.9832964915968	nonENG	2022.0684931506848	2022.0684931506848
283	1	2021.958904109589	2021.9465706851292	nonENG	2021.958904109589	2021.958904109589
284	1	2022.0383561643837	2021.977698092084	nonENG	2022.0383561643837	2022.0383561643837
285	1	2022.0520547945205	2022.0116463952968	nonENG	2022.0520547945205	2022.0520547945205
286	1	2022.0465753424655	2021.992185068312	nonENG	2022.0465753424655	2022.0465753424655
287	4	2021.9465374308568	2021.92877551892	nonENG	2021.9506849315069	2022.0054794520547
288	1	2022.06301369863	2021.988138339327	nonENG	2022.06301369863	2022.06301369863
289	1	2022.0575342465756	2021.9816270844167	nonENG	2022.0575342465756	2022.0575342465756
290	1	2022.049315068493	2022.025592747488	nonENG	2022.049315068493	2022.049315068493
291	1	2022.0213293985837	2021.9778294363512	nonENG	2022.0301369863012	2022.0301369863012
292	1	2022.0575342465756	2022.026171166988	nonENG	2022.0575342465756	2022.0575342465756
293	1	2022.019178082192	2021.9935456668568	nonENG	2022.019178082192	2022.019178082192
294	1	2022.06301369863	2022.009936683916	nonENG	2022.06301369863	2022.06301369863
295	1	2022.024657534247	2021.9485799892675	nonENG	2022.024657534247	2022.024657534247
296	1	2022.035616438356	2021.9944899750428	nonENG	2022.035616438356	2022.035616438356
297	1	2022.0657534246573	2022.040842512116	nonENG	2022.0657534246573	2022.0657534246573
298	1	2022.0383561643837	2022.0163597608844	nonENG	2022.0383561643837	2022.0383561643837
299	1	2021.9561643835616	2021.9535944147408	nonENG	2021.9561643835616	2021.9561643835616
300	1	2022.027397260274	2021.9819776087024	nonENG	2022.027397260274	2022.027397260274
301	1	2022.0575342465756	2021.9749437307464	nonENG	2022.0575342465756	2022.0575342465756
302	1	2022.0575342465756	2021.9572802731595	nonENG	2022.0575342465756	2022.0575342465756
303	1	2022.0438356164384	2022.0076678557296	nonENG	2022.0438356164384	2022.0438356164384
304	1	2022.035616438356	2021.9786810982944	nonENG	2022.035616438356	2022.035616438356
305	1	2022.0328767123287	2021.982649737268	nonENG	2022.0328767123287	2022.0328767123287
306	1	2022.0328767123287	2021.964686594532	nonENG	2022.0328767123287	2022.0328767123287
307	1	2022.0520547945205	2022.0043746670065	nonENG	2022.0520547945205	2022.0520547945205
308	1	2022.06301369863	2022.0090425534004	nonENG	2022.06301369863	2022.06301369863
309	1	2022.027397260274	2021.9918219159097	nonENG	2022.027397260274	2022.027397260274
310	2	2021.954422569517	2021.9253193354168	nonENG	2021.9561643835616	2021.9671232876717
311	1	2022.0684931506848	2021.9842046211893	nonENG	2022.0684931506848	2022.0684931506848
312	2	2021.97557732404	2021.9466322626452	nonENG	2022.013698630137	2022.0438356164384
313	1	2021.964383561644	2021.953907396884	nonENG	2021.964383561644	2021.964383561644
314	2	2021.976829207128	2021.9504893501423	nonENG	2021.983561643836	2022.0054794520547
315	2	2022.0318230020196	2021.949146410483	nonENG	2022.0438356164384	2022.0767123287671
